,,,
Fixed mmHg,Peaks,Peak cuff,Peak Ampl
105.524,,,
105.688,,,
105.852,,,
106.057,,,
106.221,,,
106.467,,,
106.672,,,
106.877,,,
107.185,,,
107.513,,,
107.923,,,
108.107,107.941,106.2972963,
108.251,,,
108.415,,,
108.558,,,
108.64,,,
108.476,,,
108.066,,,
107.615,,,
107.185,,,
107.062,,,
107.144,,,
107.164,,,
107.287,,,
107.451,,,
107.554,,,
107.636,,,
107.759,,,
107.779,,,
107.943,,,
108.025,,,
108.189,,,
108.292,,,
108.415,,,
108.497,,,
108.62,,,
108.763,,,
108.886,,,
109.05,,,
109.235,,,
109.481,,,
109.604,,,
109.747,,,
110.075,,,
110.383,,,
110.814,,,
111.142,,,
111.224,111.1166667,109.6262614,
111.408,,,
111.654,,,
111.757,,,
111.593,,,
111.265,,,
110.834,,,
110.486,,,
110.342,,,
110.445,,,
110.527,,,
110.609,,,
110.732,,,
110.916,,,
111.019,,,
111.142,,,
111.224,,,
111.347,,,
111.511,,,
111.593,,,
111.716,,,
111.839,,,
111.9,,,
112.064,,,
112.229,,,
112.331,,,
112.434,,,
112.536,,,
112.782,,,
112.905,,,
113.028,,,
113.315,,,
113.561,,,
113.972,,,
114.197,114.017,112.2687802,
114.32,,,
114.484,,,
114.587,,,
114.689,,,
114.464,,,
114.095,,,
113.705,,,
113.254,,,
112.967,,,
113.028,,,
113.069,,,
113.151,,,
113.192,,,
113.233,,,
113.356,,,
113.377,,,
113.418,,,
113.479,,,
113.52,,,
113.643,,,
113.685,,,
113.746,,,
113.828,,,
113.931,,,
113.992,,,
114.054,,,
114.095,,,
114.218,,,
114.382,,,
114.464,,,
114.587,,,
114.73,,,
114.935,,,
115.264,,,
115.592,,,
115.838,115.692,114.4563778,
116.063,,,
116.166,,,
116.248,,,
116.392,,,
116.412,,,
116.166,,,
115.817,,,
115.182,,,
114.853,,,
114.792,,,
114.771,,,
114.833,,,
114.915,,,
114.997,,,
115.059,,,
115.079,,,
115.079,,,
115.182,,,
115.243,,,
115.366,,,
115.448,,,
115.53,,,
115.592,,,
115.694,,,
115.735,,,
115.817,,,
115.92,,,
116.002,,,
116.063,,,
116.207,,,
116.31,,,
116.412,,,
116.638,,,
116.863,,,
117.171,,,
117.581,,,
117.786,117.5881111,116.2842763,
117.889,,,
118.012,,,
118.115,,,
118.238,,,
118.012,,,
117.643,,,
117.192,,,
116.761,,,
116.617,,,
116.638,,,
116.679,,,
116.781,,,
116.822,,,
116.863,,,
116.925,,,
117.007,,,
117.089,,,
117.109,,,
117.171,,,
117.294,,,
117.376,,,
117.417,,,
117.458,,,
117.561,,,
117.643,,,
117.725,,,
117.868,,,
117.93,,,
118.033,,,
118.156,,,
118.258,,,
118.361,,,
118.627,,,
118.935,,,
119.304,,,
119.55,119.3362222,118.1692,
119.653,,,
119.797,,,
119.92,,,
119.879,,,
119.694,,,
119.345,,,
118.935,,,
118.566,,,
118.484,,,
118.566,,,
118.648,,,
118.689,,,
118.771,,,
118.874,,,
118.976,,,
118.935,,,
119.038,,,
119.099,,,
119.14,,,
119.202,,,
119.263,,,
119.304,,,
119.448,,,
119.55,,,
119.632,,,
119.715,,,
119.879,,,
119.961,,,
120.043,,,
120.063,,,
120.166,,,
120.474,,,
120.802,,,
121.15,120.9842222,119.9969259,
121.397,,,
121.479,,,
121.684,,,
121.643,,,
121.417,,,
121.15,,,
120.72,,,
120.412,,,
120.33,,,
120.412,,,
120.474,,,
120.494,,,
120.556,,,
120.617,,,
120.699,,,
120.781,,,
120.822,,,
120.904,,,
120.904,,,
121.068,,,
121.068,,,
121.109,,,
121.192,,,
121.294,,,
121.376,,,
121.52,,,
121.581,,,
121.602,,,
121.725,,,
121.869,,,
121.93,,,
122.012,,,
122.238,,,
122.505,,,
122.935,,,
123.14,122.9625556,121.9146877,
123.284,,,
123.407,,,
123.571,,,
123.571,,,
123.407,,,
123.058,,,
122.648,,,
122.258,,,
122.217,,,
122.299,,,
122.299,,,
122.299,,,
122.422,,,
122.484,,,
122.546,,,
122.607,,,
122.648,,,
122.669,,,
122.792,,,
122.874,,,
122.935,,,
123.038,,,
123.038,,,
123.182,,,
123.243,,,
123.325,,,
123.407,,,
123.489,,,
123.571,,,
123.633,,,
123.756,,,
123.859,,,
123.9,,,
124.166,,,
124.454,,,
124.761,,,
124.966,124.832,123.8474008,
125.172,,,
125.254,,,
125.397,,,
125.418,,,
125.336,,,
125.049,,,
124.577,,,
124.269,,,
124.187,,,
124.187,,,
124.269,,,
124.371,,,
124.454,,,
124.556,,,
124.597,,,
124.679,,,
124.843,,,
124.925,,,
124.966,,,
125.151,,,
125.131,,,
125.295,,,
125.377,,,
125.459,,,
125.623,,,
125.705,,,
125.91,,,
126.013,,,
126.136,,,
126.239,,,
126.362,,,
126.526,,,
126.629,,,
126.752,,,
127.121,,,
127.552,,,
127.737,,,
127.983,127.8074444,126.7623397,
128.147,,,
128.27,,,
128.373,,,
128.332,,,
128.106,,,
127.778,,,
127.552,,,
127.49,,,
127.552,,,
127.634,,,
127.798,,,
127.839,,,
128.003,,,
128.085,,,
128.167,,,
128.311,,,
128.414,,,
128.537,,,
128.681,,,
128.742,,,
128.845,,,
128.968,,,
129.112,,,
129.255,,,
129.378,,,
129.522,,,
129.666,,,
129.768,,,
129.891,,,
130.035,,,
130.117,,,
130.199,,,
130.425,,,
130.733,,,
130.979,,,
131.164,,,
131.39,131.278,130.3484174,
131.636,,,
131.78,,,
131.78,,,
131.615,,,
131.349,,,
131.041,,,
131.082,,,
131.184,,,
131.266,,,
131.349,,,
131.451,,,
131.533,,,
131.636,,,
131.738,,,
131.759,,,
131.903,,,
132.026,,,
132.067,,,
132.128,,,
132.252,,,
132.313,,,
132.395,,,
132.518,,,
132.621,,,
132.724,,,
132.806,,,
132.949,,,
133.052,,,
133.032,,,
133.134,,,
133.339,,,
133.586,,,
133.688,,,
133.873,133.8547778,133.0772778,
134.017,,,
134.284,,,
134.427,,,
134.345,,,
134.181,,,
133.873,,,
133.75,,,
133.75,,,
133.832,,,
133.853,,,
133.935,,,
133.976,,,
134.037,,,
134.058,,,
134.119,,,
134.16,,,
134.284,,,
134.366,,,
134.386,,,
134.448,,,
134.571,,,
134.592,,,
134.674,,,
134.756,,,
134.817,,,
134.858,,,
135.002,,,
135.043,,,
135.146,,,
135.207,,,
135.29,,,
135.351,,,
135.413,,,
135.577,,,
135.823,,,
136.008,135.9532222,135.4853831,
136.131,,,
136.234,,,
136.439,,,
136.603,,,
136.685,,,
136.501,,,
136.213,,,
135.987,,,
135.885,,,
135.926,,,
136.008,,,
136.09,,,
136.152,,,
136.213,,,
136.254,,,
136.377,,,
136.46,,,
136.48,,,
136.562,,,
136.685,,,
136.768,,,
136.85,,,
136.952,,,
136.973,,,
137.117,,,
137.178,,,
137.26,,,
137.363,,,
137.486,,,
137.609,,,
137.712,,,
137.794,,,
137.856,,,
137.958,,,
138.143,,,
138.389,,,
138.595,,,
138.656,,,
138.8,,,
139.026,138.9687778,138.3546458,
139.313,,,
139.416,,,
139.354,,,
139.17,,,
138.882,,,
138.862,,,
138.882,,,
138.964,,,
139.087,,,
139.211,,,
139.293,,,
139.375,,,
139.457,,,
139.539,,,
139.662,,,
139.724,,,
139.868,,,
139.95,,,
140.032,,,
140.093,,,
140.196,,,
140.319,,,
140.422,,,
140.504,,,
140.648,,,
140.771,,,
140.853,,,
140.956,,,
141.1,,,
141.243,,,
141.346,,,
141.449,,,
141.695,,,
141.921,,,
142.044,,,
142.085,,,
142.291,,,
142.578,142.4,141.9671587,
142.804,,,
142.783,,,
142.619,,,
142.475,,,
142.414,,,
142.496,,,
142.619,,,
142.783,,,
142.845,,,
142.968,,,
143.091,,,
143.194,,,
143.338,,,
143.42,,,
143.564,,,
143.666,,,
143.831,,,
143.954,,,
144.036,,,
144.18,,,
144.303,,,
144.406,,,
144.59,,,
144.714,,,
144.857,,,
144.981,,,
145.166,,,
145.289,,,
145.35,,,
145.494,,,
145.638,,,
145.884,,,
145.987,,,
