,,,
Fixed mmHg,Peeks,Peak cuff,Peak Ampl
41.472,,,
41.472,,,
41.513,,,
41.513,,,
41.554,,,
41.554,,,
41.595,,,
41.616,,,
41.616,,,
41.616,,,
41.637,,,
41.678,,,
41.719,,,
41.76,,,
41.76,,,
41.822,,,
41.781,,,
41.843,,,
41.822,41.82666667,41.17211486,
41.863,,,
41.843,,,
41.843,,,
41.863,,,
41.884,,,
41.925,,,
41.904,,,
41.884,,,
41.904,,,
41.904,,,
41.925,,,
41.925,,,
41.884,,,
41.884,,,
41.904,,,
41.925,,,
41.904,,,
41.904,,,
41.863,,,
41.843,,,
41.781,,,
41.781,,,
41.719,,,
41.76,,,
41.719,,,
41.616,,,
41.575,,,
41.575,,,
41.554,,,
41.534,,,
41.513,,,
41.534,,,
41.554,,,
41.554,,,
41.595,,,
41.595,,,
41.637,,,
41.637,,,
41.719,,,
41.678,,,
41.678,,,
41.74,,,
41.781,,,
41.781,,,
41.76,,,
41.843,,,
41.801,,,
41.884,,,
41.863,,,
41.863,,,
41.925,,,
41.966,,,
41.946,,,
42.028,,,
41.987,,,
42.028,,,
41.987,,,
42.048,,,
42.069,,,
42.09,,,
42.11,,,
42.11,,,
42.151,,,
42.11,,,
42.151,,,
42.213,,,
42.234,,,
42.254,,,
42.275,,,
42.296,,,
42.296,,,
42.337,,,
42.337,,,
42.399,,,
42.378,,,
42.378,,,
42.357,,,
42.419,,,
42.44,,,
42.46,,,
42.46,,,
42.502,,,
42.522,,,
42.543,,,
42.502,,,
42.584,,,
42.625,,,
42.646,,,
42.666,,,
42.707,,,
42.687,,,
42.728,,,
42.749,,,
42.749,,,
42.81,,,
42.831,,,
42.79,,,
42.79,,,
42.831,,,
42.872,,,
42.893,,,
42.934,,,
42.934,,,
42.955,,,
42.975,,,
42.996,,,
42.975,,,
42.996,,,
42.996,,,
43.037,,,
43.078,,,
43.099,,,
43.078,,,
43.14,,,
43.16,,,
43.119,,,
43.181,,,
43.202,,,
43.263,,,
43.202,,,
43.243,,,
43.243,,,
43.284,,,
43.305,,,
43.305,,,
43.325,,,
43.366,,,
43.366,,,
43.346,,,
43.366,,,
43.408,,,
43.428,,,
43.408,,,
43.469,,,
43.552,,,
43.572,,,
43.572,,,
43.572,,,
43.614,,,
43.614,,,
43.634,,,
43.655,,,
43.655,,,
43.717,43.69155556,43.01472336,
43.758,,,
43.737,,,
43.717,,,
43.737,,,
43.737,,,
43.737,,,
43.799,,,
43.778,,,
43.758,,,
43.737,,,
43.819,,,
43.778,,,
43.758,,,
43.819,,,
43.799,,,
43.819,,,
43.819,,,
43.819,,,
43.778,,,
43.778,,,
43.717,,,
43.717,,,
43.696,,,
43.675,,,
43.634,,,
43.614,,,
43.531,,,
43.511,,,
43.469,,,
43.428,,,
43.408,,,
43.387,,,
43.449,,,
43.449,,,
43.49,,,
43.531,,,
43.469,,,
43.511,,,
43.531,,,
43.552,,,
43.531,,,
43.572,,,
43.614,,,
43.634,,,
43.634,,,
43.696,,,
43.655,,,
43.717,,,
43.696,,,
43.758,,,
43.778,,,
43.778,,,
43.799,,,
43.8505,,,
43.902,,,
43.943,,,
43.922,,,
43.902,,,
43.984,,,
43.984,,,
44.025,,,
44.005,,,
43.984,,,
44.025,,,
44.025,,,
44.087,,,
44.046,,,
44.067,,,
44.108,,,
44.19,,,
44.169,,,
44.19,,,
44.169,,,
44.19,,,
44.231,,,
44.252,,,
44.273,,,
44.355,,,
44.314,,,
44.314,,,
44.355,,,
44.396,,,
44.417,,,
44.417,,,
44.417,,,
44.478,,,
44.478,,,
44.52,,,
44.478,,,
44.561,,,
44.561,,,
44.602,,,
44.602,,,
44.623,,,
44.684,,,
44.643,,,
44.746,,,
44.684,,,
44.746,,,
44.767,,,
44.808,,,
44.787,,,
44.849,,,
44.87,,,
44.89,,,
44.89,,,
44.932,,,
44.932,,,
44.973,,,
44.952,,,
44.993,,,
45.055,,,
45.014,,,
45.034,,,
45.034,,,
45.096,,,
45.158,,,
45.137,,,
45.158,,,
45.137,,,
45.179,,,
45.179,,,
45.199,,,
45.179,,,
45.24,,,
45.261,,,
45.323,,,
45.302,,,
45.343,,,
45.302,,,
45.343,,,
45.364,,,
45.364,,,
45.467,,,
45.488,,,
45.446,,,
45.467,,,
45.549,,,
45.549,,,
45.57,,,
45.57,,,
45.591,,,
45.632,,,
45.694,,,
45.673,,,
45.755,,,
45.714,,,
45.714,,,
45.776,,,
45.735,45.76655556,44.97883594,
45.796,,,
45.796,,,
45.817,,,
45.796,,,
45.796,,,
45.838,,,
45.817,,,
45.796,,,
45.817,,,
45.838,,,
45.838,,,
45.838,,,
45.796,,,
45.838,,,
45.838,,,
45.838,,,
45.858,,,
45.838,,,
45.879,,,
45.817,,,
45.796,,,
45.796,,,
45.735,,,
45.714,,,
45.632,,,
45.632,,,
45.57,,,
45.508,,,
45.426,,,
45.385,,,
45.385,,,
45.364,,,
45.385,,,
45.426,,,
45.405,,,
45.467,,,
45.488,,,
45.508,,,
45.508,,,
45.488,,,
45.508,,,
45.57,,,
45.549,,,
45.57,,,
45.611,,,
45.673,,,
45.673,,,
45.714,,,
45.735,,,
45.755,,,
45.755,,,
45.817,,,
45.776,,,
45.796,,,
45.838,,,
45.858,,,
45.879,,,
45.879,,,
45.92,,,
45.941,,,
45.961,,,
45.961,,,
45.982,,,
46.002,,,
46.023,,,
46.085,,,
46.085,,,
46.126,,,
46.147,,,
46.167,,,
46.167,,,
46.208,,,
46.188,,,
46.25,,,
46.208,,,
46.25,,,
46.27,,,
46.27,,,
46.332,,,
46.353,,,
46.373,,,
46.414,,,
46.456,,,
46.373,,,
46.435,,,
46.456,,,
46.497,,,
46.579,,,
46.558,,,
46.558,,,
46.579,,,
46.579,,,
46.62,,,
46.661,,,
46.661,,,
46.723,,,
46.744,,,
46.744,,,
46.785,,,
46.826,,,
46.826,,,
46.847,,,
46.867,,,
46.95,,,
46.888,,,
46.95,,,
46.95,,,
46.991,,,
47.012,,,
47.032,,,
47.115,,,
47.115,,,
47.115,,,
47.156,,,
47.176,,,
47.197,,,
47.218,,,
47.218,,,
47.218,,,
47.259,,,
47.341,,,
47.321,,,
47.341,,,
47.321,,,
47.382,,,
47.382,,,
47.403,,,
47.382,,,
47.444,,,
47.506,,,
47.506,,,
47.485,,,
47.568,,,
47.547,,,
47.588,,,
47.609,,,
47.609,,,
47.588,,,
47.65,,,
47.691,,,
47.733,,,
47.733,,,
47.794,,,
47.733,,,
47.815,,,
47.815,,,
47.897,,,
47.918,,,
47.938,,,
47.938,,,
48.021,,,
48.041,,,
48.041,48.02066667,47.109,
48.062,,,
48.062,,,
48.062,,,
48.021,,,
48.083,,,
48.041,,,
48.062,,,
48.041,,,
48.062,,,
48.103,,,
48.083,,,
48.062,,,
48.083,,,
48.083,,,
48.103,,,
48.062,,,
48.062,,,
48.062,,,
48.021,,,
48.021,,,
47.98,,,
47.938,,,
47.897,,,
47.897,,,
47.877,,,
47.753,,,
47.712,,,
47.671,,,
47.588,,,
47.568,,,
47.526,,,
47.547,,,
47.568,,,
47.568,,,
47.568,,,
47.63,,,
47.65,,,
47.691,,,
47.712,,,
47.733,,,
47.753,,,
47.753,,,
47.774,,,
47.815,,,
47.856,,,
47.897,,,
47.938,,,
47.938,,,
47.959,,,
47.98,,,
48.021,,,
48.021,,,
48.062,,,
48.124,,,
48.103,,,
48.124,,,
48.124,,,
48.165,,,
48.227,,,
48.227,,,
48.186,,,
48.247,,,
48.247,,,
48.268,,,
48.289,,,
48.309,,,
48.268,,,
48.309,,,
48.392,,,
48.412,,,
48.392,,,
48.474,,,
48.453,,,
48.495,,,
48.515,,,
48.556,,,
48.577,,,
48.577,,,
48.639,,,
48.598,,,
48.639,,,
48.701,,,
48.701,,,
48.742,,,
48.721,,,
48.762,,,
48.742,,,
48.804,,,
48.845,,,
48.865,,,
48.886,,,
48.927,,,
48.927,,,
48.948,,,
48.948,,,
48.948,,,
49.009,,,
48.968,,,
49.051,,,
49.071,,,
49.092,,,
49.092,,,
49.174,,,
49.174,,,
49.216,,,
49.216,,,
49.319,,,
49.257,,,
49.319,,,
49.319,,,
49.36,,,
49.36,,,
49.339,,,
49.401,,,
49.422,,,
49.483,,,
49.463,,,
49.463,,,
49.504,,,
49.545,,,
49.545,,,
49.627,,,
49.648,,,
49.71,,,
49.689,,,
49.71,,,
49.689,,,
49.73,,,
49.772,,,
49.751,,,
49.792,,,
49.875,,,
49.813,,,
49.895,,,
49.854,,,
49.916,,,
49.936,,,
49.916,,,
49.978,,,
50.06,,,
50.039,,,
50.081,,,
50.122,,,
50.122,,,
50.163,,,
50.184,,,
50.225,,,
50.287,,,
50.266,,,
50.245,,,
50.328,,,
50.307,50.314,49.37800439,
50.369,,,
50.328,,,
50.348,,,
50.348,,,
50.369,,,
50.41,,,
50.369,,,
50.369,,,
50.369,,,
50.307,,,
50.369,,,
50.369,,,
50.431,,,
50.39,,,
50.41,,,
50.348,,,
50.369,,,
50.369,,,
50.328,,,
50.287,,,
50.245,,,
50.204,,,
50.184,,,
50.122,,,
50.06,,,
50.019,,,
49.957,,,
49.916,,,
49.875,,,
49.854,,,
49.854,,,
49.875,,,
49.854,,,
49.875,,,
49.916,,,
49.957,,,
49.916,,,
49.936,,,
49.998,,,
50.039,,,
50.06,,,
50.101,,,
50.101,,,
50.163,,,
50.163,,,
50.163,,,
50.204,,,
50.204,,,
50.266,,,
50.287,,,
50.369,,,
50.348,,,
50.369,,,
