,,,
Fixed mmhg,Peaks,Peak cuff ,Peak Ampl
65.082,,,
65.082,,,
65.061,,,
65.123,,,
65.123,65.13211111,64.95212,
65.164,,,
65.164,,,
65.164,,,
65.226,,,
65.164,,,
65.185,,,
65.206,,,
65.185,,,
65.185,,,
65.164,,,
65.185,,,
65.185,,,
65.164,,,
65.164,,,
65.185,,,
65.123,,,
65.082,,,
65.082,,,
65.082,,,
65.061,,,
65.02,,,
65.041,,,
65.0205,,,
65,,,
64.958,,,
64.855,,,
64.876,,,
64.814,,,
64.793,,,
64.773,,,
64.711,,,
64.649,,,
64.546,,,
64.567,,,
64.381,,,
64.402,,,
64.34,,,
64.319,,,
64.278,,,
64.34,,,
64.361,,,
64.361,,,
64.34,,,
64.381,,,
64.361,,,
64.422,,,
64.464,,,
64.443,,,
64.464,,,
64.464,,,
64.505,,,
64.525,,,
64.567,,,
64.525,,,
64.587,,,
64.567,,,
64.628,,,
64.649,,,
64.649,,,
64.67,,,
64.711,,,
64.732,,,
64.711,,,
64.732,,,
64.793,,,
64.773,,,
64.814,,,
64.793,,,
64.793,,,
64.793,,,
64.876,,,
64.896,,,
64.876,,,
64.958,,,
64.876,,,
64.917,,,
64.917,,,
64.917,,,
64.979,,,
65.02,,,
65.041,,,
65.041,,,
65.041,,,
65.061,,,
65.061,65.066,65.03206318,
65.082,,,
65.082,,,
65.082,,,
65.103,,,
65.123,,,
65.164,,,
65.185,,,
65.164,,,
65.206,,,
65.185,,,
65.185,,,
65.206,,,
65.206,,,
65.206,,,
65.288,,,
65.288,,,
65.288,,,
65.35,,,
65.35,,,
65.391,,,
65.412,,,
65.412,,,
65.474,,,
65.453,,,
65.453,,,
65.494,65.47822222,65.47630719,
65.494,,,
65.474,65.50566667,65.50683333,
65.535,,,
65.515,65.53777778,65.53105952,
65.556,,,
65.577,,,
65.577,,,
65.618,,,
65.577,,,
65.577,,,
65.639,,,
65.618,,,
65.68,,,
65.659,,,
65.68,,,
65.68,,,
65.7,,,
65.68,,,
65.721,,,
65.721,,,
65.742,,,
65.742,,,
65.783,,,
65.762,,,
65.783,,,
65.762,,,
65.824,,,
65.824,,,
65.824,,,
65.824,,,
65.783,,,
65.845,,,
65.824,,,
65.886,,,
65.968,65.89055556,65.7784898,
65.927,,,
65.948,,,
65.886,,,
65.948,,,
65.948,,,
66.01,,,
66.051,,,
65.989,,,
66.03,,,
65.989,,,
65.989,,,
65.989,,,
65.948,,,
65.948,,,
65.907,,,
65.865,,,
65.927,,,
65.865,,,
65.845,,,
65.824,,,
65.803,,,
65.824,,,
65.742,,,
65.7,,,
65.721,,,
65.7,,,
65.659,,,
65.618,,,
65.597,,,
65.577,,,
65.535,,,
65.494,,,
65.412,,,
65.391,,,
65.371,,,
65.267,,,
65.226,,,
65.123,,,
65.061,,,
64.958,,,
64.938,,,
64.958,,,
65,,,
65,,,
65.041,,,
65.082,,,
65.082,,,
